Scan Time,Symbol,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Category,Signal,Reason
2026-08-17 15:13:58,NSE:HEROMOTOCO,5766.0,63.07,63.8,-0.73,2026-08-17 15:00,42.17,45.35,-3.17,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 63.07 > 50, but Hourly RSI has not touched 30 (current 42.17)"
2026-08-17 15:13:58,NSE:HFCL,219.7,74.35,76.42,-2.07,2026-08-17 15:00,46.05,52.38,-6.33,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 74.35 > 50, but Hourly RSI has not touched 30 (current 46.05)"
2026-08-17 15:13:59,NSE:HONASA,482.35,71.42,79.49,-8.07,2026-08-17 15:00,49.77,70.24,-20.47,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 71.42 > 50, but Hourly RSI has not touched 30 (current 49.77)"
2026-08-17 15:14:00,NSE:HONAUT,36380.0,53.36,56.32,-2.96,2026-08-17 15:00,26.85,42.78,-15.93,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Weekly RSI 53.36 > 50 + Hourly RSI touched 30 + 15m price confirmation failed (Close 36455.0 <= Previous High 36475.0)
2026-08-17 15:14:01,NSE:HSCL,788.15,72.96,72.38,0.57,2026-08-17 15:00,66.74,59.78,6.97,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 72.96 > 50, but Hourly RSI has not touched 30 (current 66.74)"
2026-08-17 15:14:02,NSE:IFCI,78.83,60.27,58.71,1.56,2026-08-17 15:00,69.53,57.27,12.26,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 60.27 > 50, but Hourly RSI has not touched 30 (current 69.53)"
2026-08-17 15:14:03,NSE:IIFL,630.9,71.0,71.07,-0.07,2026-08-17 15:00,56.0,57.3,-1.3,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 71.00 > 50, but Hourly RSI has not touched 30 (current 56.00)"
2026-08-17 15:14:03,NSE:INOXINDIA,1952.0,73.18,72.82,0.36,2026-08-17 15:00,56.63,52.71,3.92,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 73.18 > 50, but Hourly RSI has not touched 30 (current 56.63)"
2026-08-17 15:14:04,NSE:IPCALAB,1885.1,65.69,57.98,7.72,2026-08-17 15:00,73.82,42.38,31.44,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 65.69 > 50, but Hourly RSI has not touched 30 (current 73.82)"
2026-08-17 15:14:05,NSE:J&KBANK,148.31,51.65,55.42,-3.77,2026-08-17 15:00,20.31,39.74,-19.43,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Weekly RSI 51.65 > 50 + Hourly RSI touched 30 + 15m price confirmation failed (Close 148.47 <= Previous High 148.86)
2026-08-17 15:14:06,NSE:JINDALSAW,270.7,62.31,61.29,1.02,2026-08-17 15:00,56.75,45.67,11.09,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 62.31 > 50, but Hourly RSI has not touched 30 (current 56.75)"
2026-08-17 15:14:07,NSE:JSWINFRA,335.7,63.19,64.84,-1.65,2026-08-17 15:00,39.5,47.04,-7.54,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 63.19 > 50, but Hourly RSI has not touched 30 (current 39.50)"
2026-08-17 15:14:07,NSE:JUBLFOOD,511.6,60.77,59.24,1.53,2026-08-17 15:00,68.66,63.35,5.31,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 60.77 > 50, but Hourly RSI has not touched 30 (current 68.66)"
2026-08-17 15:14:08,NSE:KAJARIACER,1253.0,63.64,63.7,-0.06,2026-08-17 15:00,57.18,62.25,-5.06,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 63.64 > 50, but Hourly RSI has not touched 30 (current 57.18)"
2026-08-17 15:14:09,NSE:KALYANKJIL,610.3,72.0,71.82,0.18,2026-08-17 15:00,54.59,52.37,2.22,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 72.00 > 50, but Hourly RSI has not touched 30 (current 54.59)"
2026-08-17 15:14:10,NSE:KAYNES,3654.8,48.37,48.47,-0.1,2026-08-17 15:00,33.19,34.0,-0.81,NO,,,,,,,15m logic removed,IGNORE,❌ IGNORE,Weekly RSI 48.37 <= 50
2026-08-17 15:14:11,NSE:KIRLOSENG,2103.6,59.09,58.99,0.1,2026-08-17 15:00,52.81,51.61,1.21,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 59.09 > 50, but Hourly RSI has not touched 30 (current 52.81)"
2026-08-17 15:14:12,NSE:KPIL,1406.0,65.04,60.2,4.84,2026-08-17 15:00,64.75,45.74,19.01,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 65.04 > 50, but Hourly RSI has not touched 30 (current 64.75)"
2026-08-17 15:14:13,NSE:LALPATHLAB,1876.1,68.34,72.68,-4.34,2026-08-17 15:00,20.54,29.71,-9.17,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Weekly RSI 68.34 > 50 + Hourly RSI touched 30 + 15m price confirmation failed (Close 1876.0 <= Previous High 1888.8)
